wallet,total_transactions,unique_days_active,account_age_days,avg_daily_activity,total_usd_volume,avg_txn_size,median_txn_size,txn_size_consistency,deposit_ratio,withdrawal_ratio,borrow_ratio,repay_ratio,liquidation_ratio,net_deposit_flow,borrow_repay_ratio,deposit_to_borrow_ratio,asset_diversity,protocol_diversity,asset_concentration,avg_time_between_txns,rapid_txn_count,rapid_txn_ratio,max_txn_size,large_txn_ratio,liquidation_count,was_liquidated,activity_consistency,hour_entropy,day_entropy,value_growth,unique_months_active
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,0,1.0,1987663654.8592713,1987663654.8592713,1987663654.8592713,,1.0,0.0,0.0,0.0,0.0,1987663654.8592713,1.0,10.0,1,1,1.0,24.0,0,0.0,1987663654.8592713,0.0,0,0,1.0,-0.0,-0.0,0.0,1
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,0,1.0,2.8569448036149264e+20,2.8569448036149264e+20,2.8569448036149264e+20,,1.0,0.0,0.0,0.0,0.0,2.8569448036149264e+20,1.0,10.0,1,1,1.0,24.0,0,0.0,2.8569448036149264e+20,0.0,0,0,1.0,-0.0,-0.0,0.0,1
0x000000000096026fb41fc39f9875d164bd82e2dc,2,2,7,1.0,5152310624158186.0,2576155312079093.0,2576155312079093.0,0.5241467279210577,1.0,0.0,0.0,0.0,0.0,5152310624158186.0,1.0,10.0,1,1,1.0,181.77916666666667,0,0.0,4229933370154108.0,0.5,0,0,0.2857142857142857,1.0,-0.0,0.0,1
0x0000000000e189dd664b9ab08a33c4839953852c,17,8,129,2.125,9.803600316664595e+20,5.766823715685056e+19,44107175595.88484,0.2741219141893083,0.0,1.0,0.0,0.0,0.0,-9.803600316664595e+20,1.0,10.0,4,1,0.9908822427429843,193.99164930555557,7,0.4375,4.808679916723243e+20,0.11764705882352941,0,0,0.06201550387596899,2.7045348998193433,1.8512268158971916,106.31509105083857,4
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,104,132,3.8365384615384617,3.797494719848251e+23,9.517530626186092e+20,9.112676398000018e+17,0.22072232691537455,0.6265664160401002,0.3258145363408521,0.03759398496240601,0.010025062656641603,0.0,9.370281056309025e+22,1.1634001937012771e-12,3.4259615535271712,6,1,0.3229786160148071,8.012014237855947,146,0.36683417085427134,2.6741712130000044e+22,0.09774436090225563,0,0,0.7878787878787878,4.356496192512512,2.7836507003218784,1954960622.3886182,6
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,15,39,1.6666666666666667,2.300808111389683e+22,9.203232445558733e+20,2513588730.000001,0.321758198293169,0.28,0.2,0.32,0.2,0.0,1.3773250258147471e+22,1.000760785937761,1581118037279.134,5,1,0.3673057496301636,39.28017361111111,4,0.16666666666666666,8.536551458246738e+21,0.12,0,0,0.38461538461538464,3.4936606896881846,2.4350849518197792,-0.7594129690851921,2
0x000000003853fcedcd0355fec98ca3192833f00b,8,4,7,2.0,7.637631560497202e+16,9547039450621502.0,5657357426562678.0,0.5085424683201144,1.0,0.0,0.0,0.0,0.0,7.637631560497202e+16,1.0,10.0,7,1,0.3411880331842802,27.048690476190473,1,0.14285714285714285,2.289872736489717e+16,0.125,0,0,0.5714285714285714,1.9056390622295665,1.811278124459133,-0.13847763751849934,1
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,108,123,4.555555555555555,8.908806796796658e+23,1.8107330887798085e+21,1.0833208558843182e+18,0.26207162309769444,0.6280487804878049,0.2784552845528455,0.06097560975609756,0.032520325203252036,0.0,1.59047290648615e+23,0.0025662569979928583,3.4632297178994924,7,1,0.31394049659496076,6.03673342385155,208,0.42362525458248473,3.0678481000785924e+22,0.1016260162601626,0,0,0.8780487804878049,4.347468891337813,2.7757531065755234,258.5795681080989,5
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,0,1.0,1.421606664814541e+17,1.421606664814541e+17,1.421606664814541e+17,,1.0,0.0,0.0,0.0,0.0,1.421606664814541e+17,1.0,10.0,1,1,1.0,24.0,0,0.0,1.421606664814541e+17,0.0,0,0,1.0,-0.0,-0.0,0.0,1
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,0,1.0,1766652.503785739,1766652.503785739,1766652.503785739,,1.0,0.0,0.0,0.0,0.0,1766652.503785739,1.0,10.0,1,1,1.0,24.0,0,0.0,1766652.503785739,0.0,0,0,1.0,-0.0,-0.0,0.0,1
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,3,30,23.0,2.796135272799093e+24,4.052369960578395e+22,1.850636934313827e+22,0.4575245877914908,0.37681159420289856,0.14492753623188406,0.34782608695652173,0.13043478260869565,0.0,-1.0812428544414497e+21,1.0001116616397911,1.3388938369098886,1,1,1.0,10.819832516339869,64,0.9411764705882353,1.8472479350618336e+23,0.08695652173913043,0,0,0.1,1.7802531286609322,1.5432877736933954,8.3511882656546,2
0x00000029ff545c86524ade7caf132527707948c4,47,2,2,23.5,9.991154302078428e+24,2.1257775110805166e+23,1.0111044086206291e+23,0.39184361850364724,0.2553191489361702,0.23404255319148937,0.2553191489361702,0.2553191489361702,0.0,2.1273233847892622e+22,0.9909528009799978,1.8497511828370874,4,1,0.6586311282909928,1.0980072463768114,39,0.8478260869565217,1.4951479086560526e+24,0.10638297872340426,0,0,1.0,2.1304097658620846,0.7849920887641584,0.4328238829384863,1
0x00000087c4cebffb95746d1935de7fbcab092f40,250,19,100,13.157894736842104,4.6536405454213526e+22,1.8614562181685412e+20,25243052981.91491,0.11772204384076043,0.344,0.228,0.248,0.18,0.0,2.2165345735845716e+22,0.05176743721236428,0.9570457182572788,8,1,0.9997160823402439,9.687448683623384,204,0.8192771084337349,1.1082208491766567e+22,0.1,0,0,0.19,3.0305994799306797,1.7230150003919378,37637148617.52515,5
0x000000e28faa823d5b53ff6c2922c28335840375,297,61,137,4.868852459016393,1.0141980241541862e+25,3.414808162135307e+22,4.279449225440001e+21,0.3913038801573429,0.3602693602693603,0.2053872053872054,0.2222222222222222,0.21212121212121213,0.0,5.381618820189211e+23,0.7236626831582187,1.2243956412574906,7,1,0.5269703783425866,11.124811373873872,141,0.47635135135135137,2.548403504105862e+23,0.09764309764309764,0,0,0.44525547445255476,3.831281217803357,2.780566884618166,-0.9583359393190257,4
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,12,41,2.3333333333333335,1.3913863045762611e+23,4.969236802058076e+21,3.0305012587982684e+20,0.3884213484834947,0.39285714285714285,0.32142857142857145,0.14285714285714285,0.03571428571428571,0.10714285714285714,-7.281990558392351e+21,1.0062683161371948,1.862435022442781,7,1,0.9266224369145855,36.706152263374484,9,0.3333333333333333,2.4550022575155204e+22,0.10714285714285714,3,1,0.2926829268292683,2.708394210158784,2.5365046032906786,-0.9236889105315906,2
